"common_name","count"
"Blue Duck",37
"Caspian Tern",984
"Long-tailed Koel",150
"New Zealand Grebe",832
"Pacific Black Duck",194
"Red-breasted Dotterel",623
"Tomtit",484
"Wrybill",161
