"common_name","count"
"Australasian Bittern",310
"Blue Duck",296
"Brown Teal",167
"Caspian Tern",2124
"Long-tailed Koel",282
"New Zealand Grebe",937
"North Island Kokako",126
"Pacific Black Duck",501
"Parkinson's Petrel",51
"Red-breasted Dotterel",1572
"Spotted Shag",144
"Tomtit",1167
"Wrybill",1489
