"common_name","count"
"Black-fronted Tern",45
"Caspian Tern",214
"Fiordland Penguin",86
"Great Egret",405
"Great Spotted Kiwi",935
"Kea",684
"Long-tailed Koel",386
"New Zealand Falcon",445
"Okarito Brown Kiwi",166
"Pacific Black Duck",214
"South Island Wren",67
"Spotted Shag",251
"Tomtit",2008
