"common_name","count"
"Brown Teal",1570
"Caspian Tern",3277
"Little Spotted Kiwi",233
"Long-tailed Koel",140
"New Zealand Grebe",1103
"New Zealand Storm-Petrel",183
"North Island Kokako",930
"Pacific Black Duck",672
"Parkinson's Petrel",288
"Shore Plover",197
"South Island Takahe",958
"Spotted Shag",59
"Stitchbird",1318
"Tomtit",784
"Wrybill",1078
