"common_name","count"
"Brown Teal",262
"Caspian Tern",1369
"New Zealand Grebe",374
"New Zealand Storm-Petrel",93
"Pacific Black Duck",338
"Parkinson's Petrel",160
"Red-breasted Dotterel",1358
"Tomtit",848
"White-bellied Storm-Petrel",2
"Wrybill",93
