"common_name","count"
"Brown Skua",319
"Chatham Island Pigeon",389
"Chatham Islands Parakeet",151
"Chatham Islands Shag",224
"Chatham Islands Snipe",183
"Chatham Oystercatcher",423
"Chatham Petrel",73
"Chatham Robin",274
"Magenta Petrel",81
"Pacific Black Duck",57
"Pitt Island Shag",610
"Royal Albatross",126
"Salvin's Albatross",82
"Shore Plover",261
"Tomtit",438
