Date,Prefecture,Prefecturename,Year,Month,Day,Dow,Holiday,Tempmax,Rhumave
2015/9/7,1,Hokkaido,2015,9,7,2,0,24.6,67
2015/9/8,1,Hokkaido,2015,9,8,3,0,25.1,64
2015/9/9,1,Hokkaido,2015,9,9,4,0,22,62
2015/9/10,1,Hokkaido,2015,9,10,5,0,23.9,63
2015/9/11,1,Hokkaido,2015,9,11,6,0,26,67
2015/9/12,1,Hokkaido,2015,9,12,7,1,23.3,74
2015/9/13,1,Hokkaido,2015,9,13,1,1,18.6,85
2015/9/14,1,Hokkaido,2015,9,14,2,0,21.6,78
2015/9/15,1,Hokkaido,2015,9,15,3,0,22.9,67
2015/9/16,1,Hokkaido,2015,9,16,4,0,24,71
2015/9/17,1,Hokkaido,2015,9,17,5,0,23.1,62
2015/9/18,1,Hokkaido,2015,9,18,6,0,20.3,76
2015/9/19,1,Hokkaido,2015,9,19,7,1,19.9,82
2015/9/20,1,Hokkaido,2015,9,20,1,1,21.9,77
2015/9/21,1,Hokkaido,2015,9,21,2,1,24.1,75
2015/9/22,1,Hokkaido,2015,9,22,3,1,24.5,75
2015/9/23,1,Hokkaido,2015,9,23,4,1,26.2,71
2015/9/24,1,Hokkaido,2015,9,24,5,0,23.5,73
2015/9/25,1,Hokkaido,2015,9,25,6,0,22.5,69
2015/9/26,1,Hokkaido,2015,9,26,7,1,20.7,76
2015/9/27,1,Hokkaido,2015,9,27,1,1,21.8,73
2015/9/28,1,Hokkaido,2015,9,28,2,0,18.7,67
2015/9/29,1,Hokkaido,2015,9,29,3,0,16.6,68
2015/9/30,1,Hokkaido,2015,9,30,4,0,17.9,62
2016/6/1,1,Hokkaido,2016,6,1,4,0,17.1,80
2016/6/2,1,Hokkaido,2016,6,2,5,0,12.6,64
2016/6/3,1,Hokkaido,2016,6,3,6,0,12.6,78
2016/6/4,1,Hokkaido,2016,6,4,7,1,17.9,83
2016/6/5,1,Hokkaido,2016,6,5,1,1,15.9,66
2016/6/6,1,Hokkaido,2016,6,6,2,0,22.1,58
2016/6/7,1,Hokkaido,2016,6,7,3,0,25.1,52
2016/6/8,1,Hokkaido,2016,6,8,4,0,20.5,73
2016/6/9,1,Hokkaido,2016,6,9,5,0,19.4,85
2016/6/10,1,Hokkaido,2016,6,10,6,0,17.7,82
2016/6/11,1,Hokkaido,2016,6,11,7,1,19.6,75
2016/6/12,1,Hokkaido,2016,6,12,1,1,19.6,70
2016/6/13,1,Hokkaido,2016,6,13,2,0,17.5,80
2016/6/14,1,Hokkaido,2016,6,14,3,0,17.6,77
2016/6/15,1,Hokkaido,2016,6,15,4,0,20,70
2016/6/16,1,Hokkaido,2016,6,16,5,0,17.6,79
2016/6/17,1,Hokkaido,2016,6,17,6,0,20,88
2016/6/18,1,Hokkaido,2016,6,18,7,1,16.2,86
2016/6/19,1,Hokkaido,2016,6,19,1,1,21.6,73
2016/6/20,1,Hokkaido,2016,6,20,2,0,20.8,85
2016/6/21,1,Hokkaido,2016,6,21,3,0,25.4,72
2016/6/22,1,Hokkaido,2016,6,22,4,0,24,73
2016/6/23,1,Hokkaido,2016,6,23,5,0,24,65
2016/6/24,1,Hokkaido,2016,6,24,6,0,21.5,64
2016/6/25,1,Hokkaido,2016,6,25,7,1,18.1,82
