"","Species","Treatment","NetCarbonAssimilation","LeafT"
"52","Acer rubrum","Monoculture",2.197257341,29.49244881
"53","Acer rubrum","Monoculture",0.058722846,29.34504128
"54","Acer rubrum","Monoculture",-0.798819326,29.14152527
"55","Quercus ellipsoidalis","Shaded biculture",25.93333926,27.66135979
"56","Quercus ellipsoidalis","Shaded biculture",25.98724513,26.89100647
"57","Quercus ellipsoidalis","Shaded biculture",24.67078265,26.07266426
"58","Quercus ellipsoidalis","Shaded biculture",19.36679856,25.17317963
"59","Quercus ellipsoidalis","Shaded biculture",10.8621756,24.58608437
"60","Quercus ellipsoidalis","Shaded biculture",5.544722481,24.67485237
"61","Quercus ellipsoidalis","Shaded biculture",2.463650242,24.70202255
"62","Quercus ellipsoidalis","Shaded biculture",0.458120323,24.80778122
"63","Quercus ellipsoidalis","Shaded biculture",-1.466782006,24.93092537
"64","Acer rubrum","Twelve-species",8.237908602,25.84666824
"65","Acer rubrum","Twelve-species",6.931129836,25.77213478
"66","Acer rubrum","Twelve-species",7.09824993,25.66400337
"67","Acer rubrum","Twelve-species",6.496875259,25.50695229
"68","Acer rubrum","Twelve-species",5.613468018,25.29244804
"69","Acer rubrum","Twelve-species",3.519499073,25.2902565
"70","Acer rubrum","Twelve-species",1.592157308,25.31895638
"71","Acer rubrum","Twelve-species",0.031870611,25.38651466
"72","Acer rubrum","Twelve-species",-0.925972882,25.59153557
"73","Quercus ellipsoidalis","Twelve-species",15.22763704,25.42921829
"74","Quercus ellipsoidalis","Twelve-species",15.7319059,25.48689651
"75","Quercus ellipsoidalis","Twelve-species",16.33189461,25.43613052
"76","Quercus ellipsoidalis","Twelve-species",14.21983999,25.35546494
"77","Quercus ellipsoidalis","Twelve-species",8.36431636,25.34877586
"78","Quercus ellipsoidalis","Twelve-species",4.108442636,25.50864029
"79","Quercus ellipsoidalis","Twelve-species",1.318435002,25.59544182
"80","Quercus ellipsoidalis","Twelve-species",-0.623062986,25.66203308
"81","Quercus ellipsoidalis","Twelve-species",-2.159446566,25.74858475
"82","Acer rubrum","Shaded biculture",9.714500324,24.63050461
"83","Acer rubrum","Shaded biculture",9.298300177,24.5164032
"84","Acer rubrum","Shaded biculture",8.463946688,24.32193565
"85","Acer rubrum","Shaded biculture",6.882822669,24.2203598
"86","Acer rubrum","Shaded biculture",4.250815572,24.20153427
"87","Acer rubrum","Shaded biculture",2.220758262,24.23049545
"88","Acer rubrum","Shaded biculture",0.318649634,24.25828171
"89","Acer rubrum","Shaded biculture",-0.805698363,24.31189728
"90","Acer rubrum","Shaded biculture",8.237908602,25.84666824
"91","Acer rubrum","Shaded biculture",6.931129836,25.77213478
"92","Acer rubrum","Shaded biculture",7.09824993,25.66400337
"93","Acer rubrum","Shaded biculture",6.496875259,25.50695229
"94","Acer rubrum","Shaded biculture",5.613468018,25.29244804
"95","Acer rubrum","Shaded biculture",3.519499073,25.2902565
"96","Acer rubrum","Shaded biculture",1.592157308,25.31895638
"97","Acer rubrum","Shaded biculture",0.031870611,25.38651466
"98","Acer rubrum","Shaded biculture",-0.925972882,25.59153557
"99","Tilia americana","Shaded biculture",19.99293296,27.90703392
"100","Tilia americana","Shaded biculture",19.85476628,27.10189438
"101","Tilia americana","Shaded biculture",18.33607646,26.32055664
"102","Tilia americana","Shaded biculture",15.78700772,25.5231266
"103","Tilia americana","Shaded biculture",9.512258043,24.95582008
"104","Tilia americana","Shaded biculture",4.026312169,24.81512833
"105","Tilia americana","Shaded biculture",2.835687796,24.73535919
"106","Tilia americana","Shaded biculture",0.139537869,24.63313484
"107","Tilia americana","Shaded biculture",-2.011729602,24.49257469
"108","Tilia americana","Twelve-species",12.41962669,27.05487633
"109","Tilia americana","Twelve-species",11.94719914,26.82276726
"110","Tilia americana","Twelve-species",10.40181861,26.68787956
"111","Tilia americana","Twelve-species",10.72486652,26.55216408
"112","Tilia americana","Twelve-species",7.541289341,26.34993935
"113","Tilia americana","Twelve-species",4.504992295,26.14344025
"114","Tilia americana","Twelve-species",2.393270007,26.13358688
"115","Tilia americana","Twelve-species",0.460349932,26.08690262
"116","Quercus ellipsoidalis","Monoculture",20.0054912,26.87235641
"117","Quercus ellipsoidalis","Monoculture",18.67979536,26.77053452
"118","Quercus ellipsoidalis","Monoculture",17.31023775,26.65224648
"119","Quercus ellipsoidalis","Monoculture",13.57694214,26.46292114
"120","Quercus ellipsoidalis","Monoculture",6.56814613,26.33751297
"121","Quercus ellipsoidalis","Monoculture",2.881765788,26.37702942
"122","Quercus ellipsoidalis","Monoculture",0.577288161,26.42046928
"123","Quercus ellipsoidalis","Monoculture",-1.009509604,26.44111443
"124","Quercus ellipsoidalis","Monoculture",-2.374687778,26.41215706
"125","Tilia americana","Monoculture",7.362007845,27.51987648
"126","Tilia americana","Monoculture",7.149806437,27.32263374
"127","Tilia americana","Monoculture",7.035121509,27.16611862
"128","Tilia americana","Monoculture",6.685046106,27.06695175
"129","Tilia americana","Monoculture",5.177151545,26.91137505
"130","Tilia americana","Monoculture",3.30844619,27.07890511
"131","Tilia americana","Monoculture",1.585381285,27.07637787
"132","Tilia americana","Monoculture",0.494394101,27.07896423
"133","Tilia americana","Monoculture",-1.168861313,26.8505497
"134","Tilia americana","Twelve-species",16.77199198,29.5015583
"135","Tilia americana","Twelve-species",16.81676156,28.5729847
"136","Tilia americana","Twelve-species",16.2468761,27.62797546
"137","Tilia americana","Twelve-species",14.83755732,26.71466255
"138","Tilia americana","Twelve-species",8.059084105,26.15849304
"139","Tilia americana","Twelve-species",4.815842062,25.99050522
"140","Tilia americana","Twelve-species",2.200514962,25.91542435
"141","Tilia americana","Twelve-species",0.05408639,25.92199707
"142","Tilia americana","Twelve-species",-1.069401083,26.03373528
"143","Tilia americana","Monoculture",18.48628964,28.20540047
"144","Tilia americana","Monoculture",18.06750206,27.53353691
"145","Tilia americana","Monoculture",17.5613749,26.82927132
"146","Tilia americana","Monoculture",15.31114759,26.04767609
"147","Tilia americana","Monoculture",8.990910925,25.71596527
"148","Tilia americana","Monoculture",4.63461444,25.66791153
"149","Tilia americana","Monoculture",2.280450652,25.5830822
"150","Tilia americana","Monoculture",0.270385789,25.4927845
"151","Tilia americana","Monoculture",-1.131743077,25.35441208
"152","Tilia americana","Monoculture",12.23740634,28.62830353
"153","Tilia americana","Monoculture",11.56536211,27.96033096
"154","Tilia americana","Monoculture",10.96604368,27.32184792
"155","Tilia americana","Monoculture",9.992328491,26.77749634
"156","Tilia americana","Monoculture",6.590367315,26.16322708
"157","Tilia americana","Monoculture",3.305193045,26.02651024
"158","Tilia americana","Monoculture",1.652889634,25.96285248
"159","Tilia americana","Monoculture",-0.105762505,25.9721756
"160","Tilia americana","Monoculture",-1.339803686,25.99930191
"161","Quercus ellipsoidalis","Shaded biculture",13.47002421,27.54089928
"162","Quercus ellipsoidalis","Shaded biculture",13.69236973,27.34776115
"163","Quercus ellipsoidalis","Shaded biculture",13.42424922,27.14661217
"164","Quercus ellipsoidalis","Shaded biculture",12.0792117,26.99612999
"165","Quercus ellipsoidalis","Shaded biculture",8.596603273,26.98030663
"166","Quercus ellipsoidalis","Shaded biculture",3.550205988,26.97382736
"167","Quercus ellipsoidalis","Shaded biculture",1.296804565,26.87511253
"168","Quercus ellipsoidalis","Shaded biculture",-0.863474197,26.91652298
"169","Quercus ellipsoidalis","Shaded biculture",-1.551326667,26.90881348
"170","Quercus ellipsoidalis","Monoculture",17.14068682,28.85290909
"171","Quercus ellipsoidalis","Monoculture",16.82118836,28.92502022
"172","Quercus ellipsoidalis","Monoculture",11.83109771,29.08933449
"173","Quercus ellipsoidalis","Monoculture",5.366619364,28.72613716
"174","Quercus ellipsoidalis","Monoculture",2.091573193,28.69993019
"175","Quercus ellipsoidalis","Monoculture",0.574867394,28.64876556
"176","Quercus ellipsoidalis","Monoculture",-1.042618215,28.60770035
"177","Quercus ellipsoidalis","Monoculture",-1.590427521,28.55736542
"178","Tilia americana","Shaded biculture",14.5916633,27.32720566
"179","Tilia americana","Shaded biculture",13.90488134,27.16428947
"180","Tilia americana","Shaded biculture",13.3686749,27.01014709
"181","Tilia americana","Shaded biculture",11.55270126,26.84400558
"182","Tilia americana","Shaded biculture",7.420520901,26.84858704
"183","Tilia americana","Shaded biculture",3.804274044,26.90375328
"184","Tilia americana","Shaded biculture",1.809944292,26.87910843
"185","Tilia americana","Shaded biculture",-0.32111569,26.88813782
"186","Tilia americana","Shaded biculture",-1.28328241,26.88744354
"187","Quercus ellipsoidalis","Monoculture",17,31.19
"188","Quercus ellipsoidalis","Monoculture",15.7,30.44
"189","Quercus ellipsoidalis","Monoculture",16.8,29.59
"190","Quercus ellipsoidalis","Monoculture",14.3,28.66
"191","Quercus ellipsoidalis","Monoculture",7.36,28.12
"192","Quercus ellipsoidalis","Monoculture",3.03,28.17
"193","Quercus ellipsoidalis","Monoculture",0.564,28.19
"194","Quercus ellipsoidalis","Monoculture",-0.437,28.29
"195","Quercus ellipsoidalis","Monoculture",-1.29,28.36
"196","Quercus ellipsoidalis","Twelve-species",16.8,30.7
"197","Quercus ellipsoidalis","Twelve-species",15.8,30.38
"198","Quercus ellipsoidalis","Twelve-species",15.5,29.61
"199","Quercus ellipsoidalis","Twelve-species",14.1,28.8
"200","Quercus ellipsoidalis","Twelve-species",7.3,28.26
"201","Quercus ellipsoidalis","Twelve-species",3.61,28.14
"202","Quercus ellipsoidalis","Twelve-species",0.719,28.1
"203","Quercus ellipsoidalis","Twelve-species",-0.863,28.15
"204","Quercus ellipsoidalis","Twelve-species",-1.29,28.2
"205","Tilia americana","Monoculture",12,30.22
"206","Tilia americana","Monoculture",11.4,29.67
"207","Tilia americana","Monoculture",11.3,28.99
"208","Tilia americana","Monoculture",10.3,28.13
"209","Tilia americana","Monoculture",6.38,27.65
"210","Tilia americana","Monoculture",3.13,27.55
"211","Tilia americana","Monoculture",1.54,27.6
"212","Tilia americana","Monoculture",0.552,27.71
