"","Species","Treatment","NetCarbonAssimilation","LeafT"
"331","Betula papyrifera","Twelve-species",20,29.03
"332","Betula papyrifera","Twelve-species",19.9,28.39
"333","Betula papyrifera","Twelve-species",19,27.54
"334","Betula papyrifera","Twelve-species",17.5,26.74
"335","Betula papyrifera","Twelve-species",10.1,26.28
"336","Betula papyrifera","Twelve-species",3.88,26.02
"337","Betula papyrifera","Twelve-species",1.76,25.86
"338","Betula papyrifera","Twelve-species",0.276,25.88
"339","Betula papyrifera","Twelve-species",-1.16,25.83
"340","Betula papyrifera","Twelve-species",22.7,28.86
"341","Betula papyrifera","Twelve-species",21.6,28.37
"342","Betula papyrifera","Twelve-species",21,27.56
"343","Betula papyrifera","Twelve-species",18.3,26.84
"344","Betula papyrifera","Twelve-species",9.71,26.36
"345","Betula papyrifera","Twelve-species",4.74,26.22
"346","Betula papyrifera","Twelve-species",1.69,26.1
"347","Betula papyrifera","Twelve-species",0.236,25.93
"348","Betula papyrifera","Twelve-species",-1.27,25.87
"349","Tilia americana","Twelve-species",15.3,29.72
"350","Tilia americana","Twelve-species",14.8,28.93
"351","Tilia americana","Twelve-species",14.4,28.13
"352","Tilia americana","Twelve-species",12.4,27.18
"353","Tilia americana","Twelve-species",7.77,26.68
"354","Tilia americana","Twelve-species",3.36,26.56
"355","Tilia americana","Twelve-species",1.29,26.41
"356","Tilia americana","Twelve-species",-0.33,26.4
"357","Tilia americana","Twelve-species",-0.727,26.22
"358","Betula papyrifera","Twelve-species",20.4,29.87
"359","Betula papyrifera","Twelve-species",19.9,29.32
"360","Betula papyrifera","Twelve-species",19.1,28.67
"361","Betula papyrifera","Twelve-species",15.4,27.9
"362","Betula papyrifera","Twelve-species",7.64,27.17
"363","Betula papyrifera","Twelve-species",3.31,27
"364","Betula papyrifera","Twelve-species",0.781,26.6
"365","Betula papyrifera","Twelve-species",-1.22,26.4
"366","Betula papyrifera","Twelve-species",-2.62,26.59
"367","Acer rubrum","Monoculture",9.02,33.62
"368","Acer rubrum","Monoculture",9.98,33.16
"369","Acer rubrum","Monoculture",9.82,32.8
"370","Acer rubrum","Monoculture",9.29,32.44
"371","Acer rubrum","Monoculture",6.51,32.03
"372","Acer rubrum","Monoculture",3.32,31.86
"373","Acer rubrum","Monoculture",0.554,32.04
"374","Acer rubrum","Monoculture",-0.656,31.86
"375","Acer rubrum","Monoculture",-1.35,31.61
"376","Quercus ellipsoidalis","Shaded biculture",23.3,28.51
"377","Quercus ellipsoidalis","Shaded biculture",23.3,27.67
"378","Quercus ellipsoidalis","Shaded biculture",23.1,26.72
"379","Quercus ellipsoidalis","Shaded biculture",19.7,25.75
"380","Quercus ellipsoidalis","Shaded biculture",10.3,25.27
"381","Quercus ellipsoidalis","Shaded biculture",4.43,25.22
"382","Quercus ellipsoidalis","Shaded biculture",1.43,25.22
"383","Quercus ellipsoidalis","Shaded biculture",0.163,25.22
"384","Quercus ellipsoidalis","Shaded biculture",-0.921,25.21
"385","Acer rubrum","Twelve-species",11.3,28.98
"386","Acer rubrum","Twelve-species",11.8,28.24
"387","Acer rubrum","Twelve-species",11.8,27.42
"388","Acer rubrum","Twelve-species",11.3,26.63
"389","Acer rubrum","Twelve-species",7.85,26.19
"390","Acer rubrum","Twelve-species",3.88,26.23
"391","Acer rubrum","Twelve-species",1.52,26.43
"392","Acer rubrum","Twelve-species",0.633,26.54
"393","Acer rubrum","Twelve-species",-1.11,26.57
"394","Quercus ellipsoidalis","Twelve-species",17,27.8
"395","Quercus ellipsoidalis","Twelve-species",17.5,27.03
"396","Quercus ellipsoidalis","Twelve-species",17.8,26.02
"397","Quercus ellipsoidalis","Twelve-species",15.5,25.12
"398","Quercus ellipsoidalis","Twelve-species",9.02,24.63
"399","Quercus ellipsoidalis","Twelve-species",4.29,24.56
"400","Quercus ellipsoidalis","Twelve-species",1.71,24.51
"401","Quercus ellipsoidalis","Twelve-species",0.529,24.58
"402","Quercus ellipsoidalis","Twelve-species",-1.74,24.6
"403","Acer rubrum","Shaded biculture",7.05,27.91
"404","Acer rubrum","Shaded biculture",6.63,27.12
"405","Acer rubrum","Shaded biculture",6.94,26.16
"406","Acer rubrum","Shaded biculture",6.75,25.12
"407","Acer rubrum","Shaded biculture",6.01,24.58
"408","Acer rubrum","Shaded biculture",4.59,24.42
"409","Acer rubrum","Shaded biculture",2.05,24.43
"410","Acer rubrum","Shaded biculture",1.09,24.42
"411","Acer rubrum","Shaded biculture",-0.206,24.48
"412","Tilia americana","Shaded biculture",16.8,29.54
"413","Tilia americana","Shaded biculture",16.1,28.91
"414","Tilia americana","Shaded biculture",15.5,27.97
"415","Tilia americana","Shaded biculture",14.2,26.91
"416","Tilia americana","Shaded biculture",8.34,26.21
"417","Tilia americana","Shaded biculture",4.01,25.93
"418","Tilia americana","Shaded biculture",1.3,25.72
"419","Tilia americana","Shaded biculture",-0.0154,25.74
"420","Tilia americana","Shaded biculture",-0.965,25.77
"421","Betula papyrifera","Shaded biculture",19.2,30.38
"422","Betula papyrifera","Shaded biculture",19.2,29.62
"423","Betula papyrifera","Shaded biculture",18.4,28.78
"424","Betula papyrifera","Shaded biculture",14,27.72
"425","Betula papyrifera","Shaded biculture",7.4,27.09
"426","Betula papyrifera","Shaded biculture",2.67,26.87
"427","Betula papyrifera","Shaded biculture",0.574,26.84
"428","Betula papyrifera","Shaded biculture",-1.06,26.79
"429","Betula papyrifera","Shaded biculture",-1.98,26.79
"430","Betula papyrifera","Shaded biculture",19.6,28.68
"431","Betula papyrifera","Shaded biculture",19.8,28.01
"432","Betula papyrifera","Shaded biculture",19.2,26.99
"433","Betula papyrifera","Shaded biculture",16.3,25.85
"434","Betula papyrifera","Shaded biculture",8.3,25.22
"435","Betula papyrifera","Shaded biculture",3.44,24.91
"436","Betula papyrifera","Shaded biculture",1.75,24.78
"437","Betula papyrifera","Shaded biculture",-0.4,24.74
"438","Betula papyrifera","Shaded biculture",-1.69,24.74
"439","Betula papyrifera","Shaded biculture",24,29.15
"440","Betula papyrifera","Shaded biculture",24.4,28.58
"441","Betula papyrifera","Shaded biculture",23,27.76
"442","Betula papyrifera","Shaded biculture",18.9,27.29
"443","Betula papyrifera","Shaded biculture",9.01,27.01
"444","Betula papyrifera","Shaded biculture",3.47,27.09
"445","Betula papyrifera","Shaded biculture",1.1,27.06
"446","Betula papyrifera","Shaded biculture",-1.18,27.06
"447","Betula papyrifera","Shaded biculture",-1.87,26.51
"448","Quercus ellipsoidalis","Monoculture",16.7,30.46
"449","Quercus ellipsoidalis","Monoculture",14.9,30.02
