"State","Stats_Code","Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"Bay_of_Plenty","rain",2017,"40","192.2","326.1","324.5",NA,"77","137.4","182.7",NA,"128.5",NA,"43.9"
"Bay_of_Plenty","rain",2018,"171.4","187.4","72.1","165.2","82","171.2",NA,NA,"42.9","76.1","112.8",NA
"Bay_of_Plenty","rain",2019,"30",NA,"52.5","80.6","56.2","57.8","154.4","86.7",NA,NA,NA,"105.4"
"Bay_of_Plenty","rain",2020,NA,"6.8",NA,"27.8","81.1","215.7","112.5",NA,"43.9","40.4","162.7","28.2"
"Bay_of_Plenty","temperature",2010,"18.35","20.2","17.5","14.95","12.45","10.15","8.7","10.5","12","13.05","15.9","18.75"
"Bay_of_Plenty","temperature",2011,"19.5","20.6","17.55","14.6","13.85","11.2","9.65","9.05","10.25","13.7","15.5","16.95"
"Bay_of_Plenty","temperature",2012,"18.25","18.15","16.55","15.1","11.2","9.15","9.25","10.4","11.35","12.55","14.05","18.3"
"Bay_of_Plenty","temperature",2013,"18.6","18.7","18.4","16.05","12.7","9.9","8.95","11.15","12.05","13.75","16.55","17.6"
"Bay_of_Plenty","temperature",2014,"17.65","18.9","16.95","16.35","12.05","11.55","9.15","9.6","12.3","13.15","14.5","17.1"
"Bay_of_Plenty","temperature",2015,"20.3","18.4","17.6","15.25","11.65","10.2","8.4","9.35","10.65","13.55","14.95","17.3"
"Bay_of_Plenty","temperature",2016,"19.55","20.65","18.5","15.4","14.4","10.9","9.45","9.5","12.35","13.65","15.4","16.8"
"Bay_of_Plenty","temperature",2017,"18.15","19.6","18.35","15.7","11.65","10.25","9.05","10.8","11.7","13.7","15.55","18.8"
"Bay_of_Plenty","temperature",2018,"20.95","19.9","18.6","15.05","12.8","10.1","9.3","10.25","11.5","13.1","15.4","18.3"
"Bay_of_Plenty","temperature",2019,"20.85","19.85","18.9","14.3","12.75","9.5","10.65","10.25","11.5","13.1","16.95","18.4"
"Bay_of_Plenty","temperature",2020,"19","20.5","16.9","14.8","12.1","11.75","9.65","10.7","11.55","14.25","16","17.55"
"Bay_of_Plenty","wind",2010,"3.9","3.15","3.85","3","3.05","3.5","3","3.4","5.05","4.1","3.45","4"
"Bay_of_Plenty","wind",2011,"4.1","3.1","3.25","3.35","3.55","3.2","4.25","3.1","3.65","3.9","5.15","4"
"Bay_of_Plenty","wind",2012,"4.25","3.15","4.05","3.2","3.35","3.3","3.15","2.65","4.35","4.9","4.2","3.8"
"Bay_of_Plenty","wind",2013,"4.1","3.4","3.1","3.5","2.95","3.25","2.65","3.5","4.5","4.65","3.7","4"
"Bay_of_Plenty","wind",2014,"4.4","3.7","3.55","3.3","2.8","3.4","3.8","4","4.05","4.5","4.9","3.75"
"Bay_of_Plenty","wind",2015,"3.25","3.4","2.9","3.15","2.9","4.15","3.3","2.8","3.55","4.35","4.25","4.25"
"Bay_of_Plenty","wind",2016,"3.9","3.6","3.45","2.55","3.4","3.3","4.25","3.1","3.9","4.1","5.25","4.3"
"Bay_of_Plenty","wind",2017,"4.95","3.3","3.8","2.9","3.4","3","3.2","2.95","4","4.4","3.65","3.7"
"Bay_of_Plenty","wind",2018,"3.7","3.6","3.4","3.95","3.2","3.4","3.1","3.1","3.8","3.4","3.65","3.9"
"Bay_of_Plenty","wind",2019,"4.5","3.75","2.9","3.2","3.1","2.9","3.3","4.4","4.45","4.9","4.15","4.45"
"Bay_of_Plenty","wind",2020,"4.3","3.65","3.35","3.25","3.05","3.5","3.5","3.5","4.75","3.5","4.35","4.4"
"Canterbury","rain",2010,"34.6","20.7","26.6","30.4","167.4","79.35","56","91.1","26.8","20.9","42.6","42"
"Canterbury","rain",2011,"52.5","55.45","60.5","69.4","59.25","25.05","21.1","44.1","26.4","77.7","78.4","54.4"
"Canterbury","rain",2012,"54.3","64.1","35.7","23.6","10.8","63.5","90.45","116.9","29.1","65.2","52.6","24.6"
"Canterbury","rain",2013,"46.4","22.1","23.7","53.75","54.9",NA,"29.3","35.9","30.6","48","30.4","59.1"
"Canterbury","rain",2014,"16.3","37.7","75","134.4","34.4","57",NA,"16.1","29.1","23.9","38.8","22.7"
"Canterbury","rain",2015,"17.5","12.4",NA,"63.4","9.9","71.5","29.7","46.2","46.2","14.4","18.5","49"
"Canterbury","rain",2016,"102.9","13.2","46.5","16.6","86.6","21.8","25.3","44.2","21.8","69.3","66.9","53.4"
"Canterbury","rain",2017,"58.3","26.6","74.5","132.6","29.8","30",NA,"51.3","52.3","55.6","4.8","49.4"
"Canterbury","rain",2018,"98.3",NA,"41.8","132.5","33.7","66.3","16.4","23.5","28.6","66.3",NA,"69.4"
"Canterbury","rain",2019,"34.1",NA,"22.4","49.3","67.6","21.5","76.3","46.7","42.35","57","41","53"
"Canterbury","rain",2020,"4","32.6","45.8","16.1","24.7","72.9","35.7","26.5","28.5","30.8","64.7","50.6"
"Canterbury","sunshine",2010,"174.1","201.2","195.4","166.9","109.8","89.5","127.9","86.7","175.9","244.6","264.3","204.2"
"Canterbury","sunshine",2011,"209","197.6","201.5","141.3","116","81.9","153.2","173.5","197.2","141.1","232.4","184.5"
"Canterbury","sunshine",2012,"232.8","150.3","189.1","206.4","144.7","128.1","116.9","121.2","183.7","212.2","218.4","231.4"
"Canterbury","sunshine",2013,"292.3","233.4","159.6","121.4","131.1","93",NA,"123.1","173.8","208.6","166.2","203.5"
"Canterbury","sunshine",2014,"243.9","194.6","191.7",NA,"146.7",NA,"119.2","169.4","183.9","211.3","253.8","204"
"Canterbury","sunshine",2015,NA,NA,NA,"132.3","172.6",NA,"134.4","142","150.6","231.8","239.4","245.7"
"Canterbury","sunshine",2016,"155.7","232.9",NA,NA,NA,"137.2","163.8","164.7","113.7","193.2","216.3","189.6"
"Canterbury","sunshine",2017,"247.8","196.8","143.2",NA,"133.7","96.2","93.4","153.2","120.6","211.1","236.6",NA
"Canterbury","sunshine",2018,"220.8","181.2",NA,NA,"130.7",NA,"156","150.2",NA,"208.4","212.4","156"
"Canterbury","sunshine",2019,"250.8","247.9","172.8","148.3","156.9","155.6","116.6","213","200.1","215.4","235.3","260.3"
"Canterbury","sunshine",2020,"248.8","182.6","168.8","218.1","157.9","89",NA,"177.8","259.6","215.9","180.5","235.9"
"Canterbury","temperature",2010,"16.15","16.4","14.9","12.75","9","5.6","5","7.65","9.65","10.6","14.3","16.95"
"Canterbury","temperature",2011,"16.45","16.15","14.55","10.75","10.5","7.15","5.3","6.25","8.1","10.6","12.4","15"
"Canterbury","temperature",2012,"15.4","15.35","12.95","11.25","8.05","5.2","5.4","8.25","9.3","10.6","11.4","16.35"
"Canterbury","temperature",2013,"16.75","16.2","15.5","12.1","8.8","6.3","7.1","8.4","8.7","11.65","13.45","15.85"
"Canterbury","temperature",2014,"15.5","16.55","13.4","12.05","9.05","6.95","6","6.5","8.35","10.55","12.8","15.3"
"Canterbury","temperature",2015,"17.4","15.95","14.9","12.3","8.9","6.2","5.25","6.05","8.2","11.7","12.8","14.85"
"Canterbury","temperature",2016,"15.85","18.5","15.35","11.8","10.9","7.45","6","5.9","9.65","11.2","13.25","14.95"
"Canterbury","temperature",2017,"16","16.2","14","11.8","7.45","6.1","5","7.9","10","11.35","13.85","17.25"
"Canterbury","temperature",2018,"19.1","16.45","15.3","11.25","8.8","6.75","6.6","7.15","8.5","10.7","12.75","15.65"
"Canterbury","temperature",2019,"18.1","16.75","16.4","11.1","9.75","5.85","7","6.85","8.55","10.25","14.9","15.5"
"Canterbury","temperature",2020,"16.65","17.35","13.55","11.85","9","6.55","6","8.25","9.45","12.05","13.55","14.8"
"Canterbury","wind",2010,"3.95","3.2","3.4","2.85","3.15","2.75","2.2","3.1","3.8","3.65","3.45","3.95"
"Canterbury","wind",2011,"3.95","3.75","3.45","2.9","2.6","2.55","3","2.95","3.05","3.8","3.8","3.65"
"Canterbury","wind",2012,"3.6","3.55","3.45","2.45","2.55","3.05","2.25","2.85","3.55","3.8","3.5","3.7"
"Canterbury","wind",2013,"4","3.4","2.9","2.7","2.85","2.9","2.65","2.9","3.25","3.8","3.65","3.35"
"Canterbury","wind",2014,"4.3","3.5","3.45","3.2","2.7","2.15","3","3.05","3.05","3.65","4.35","3.85"
"Canterbury","wind",2015,"3.8","3.9","3.6","3.45","2.85","3.1","2.95","2.8","3.25","4.05","4.05","3.75"
"Canterbury","wind",2016,"3.5","3.4","3.35","2.6","3.35","2.45","2.7","2.75","3.4","3.45","3.95","3.75"
"Canterbury","wind",2017,"4.4","3.5","3.05","2.8","2.4","2.4","2.9","2.75","3.6","3.3","3.3","3.75"
"Canterbury","wind",2018,"3.5","3.75","3.05","3.35","2.8","2.3","2.55","2.5","2.95","3.2","3.65","3.45"
"Canterbury","wind",2019,"3.85","3.6","3.05","3.15","2.5","2.65","2.6","2.9","3.25","3.4","3.65","4.4"
"Canterbury","wind",2020,"3.75","3.75","3.7","2.95","2.45","2.7","2.45","2.7","3.5","3.4","3.75","3.75"
"Chatham","rain",2012,NA,NA,NA,"29.7","141.0","124.2","68.3","70.9","54.3","53.4","58.4","52.8"
"Chatham","rain",2013,"91.5","87.6","46.0","55.0","121.2","51.8","43.8","48.6","86.4","68.2","39.4","106.2"
"Chatham","rain",2014,"120.2","103.0","68.0","97.8","34.2",NA,"83.2","94.0","59.0","52.6",NA,"26.4"
"Chatham","rain",2015,"18.2",NA,"138.0","98.0","78.8","120.0","82.0","59.8","74.4","41.8","41.6","60.0"
"Chatham","rain",2016,"53.0","39.4","36.6","57.4",NA,"97.6","69.8",NA,"60.4","67.4",NA,"55.4"
"Chatham","rain",2017,NA,"28.6","64.4",NA,NA,"110.8",NA,NA,NA,NA,NA,NA
"Chatham","rain",2018,NA,"81.8","92.8",NA,NA,NA,"91.2","106.2","72.4","64.8","39.8","71.2"
"Chatham","rain",2019,"21.0","50.6","25.6","62.2",NA,NA,NA,NA,"75.0",NA,"32.2","90.4"
"Chatham","rain",2020,"32.2","35.6",NA,"38.6","59.2",NA,NA,"99.0","51.8",NA,NA,"86.0"
"Chatham","temperature",2012,NA,NA,NA,"13.7","10.7","8.4","8.2","9.1","10.5","11.6","11.7","15.1"
"Chatham","temperature",2013,"16.2","16.2","15.0","14.4","11.1","10.1","9.0","10.1","10.7","12.3","14.1","16.0"
"Chatham","temperature",2014,"15.6","16.8","14.9","14.3","11.1","9.7","9.1","8.7","10.1","10.9","12.6","13.5"
"Chatham","temperature",2015,"16.2","15.9","15.6","12.9","10.6","8.4","7.2","8.3","9.1","11.0","11.8","13.4"
"Chatham","temperature",2016,"15.1","17.5","15.1","13.0","11.5","10.7","8.1","8.0","10.5","12.7","13.7","14.4"
"Chatham","temperature",2017,"15.1","15.8","15.6","13.8","10.7","9.3","9.0","10.6","11.4","11.3","13.7","16.0"
"Chatham","temperature",2018,NA,"17.9","16.4","13.3","12.0","9.3","9.4","10.5","11.1","11.6","13.7","15.3"
"Chatham","temperature",2019,"17.2","17.3","16.8","14.6","12.2","10.1","10.1","8.9","9.9","11.1","14.1","17.4"
"Chatham","temperature",2020,"16.0","16.4","14.9","13.0","11.3","10.8","8.8","9.9","10.6","11.5","14.5","15.2"
"Chatham","wind",2012,NA,NA,NA,"4.9","5.8","6.0","4.7","5.5","6.3","7.1","7.0","6.6"
"Chatham","wind",2013,"6.2","5.3","4.7","5.8","6.3","6.2","5.4","6.5","6.3","6.5","6.5","7.1"
"Chatham","wind",2014,"7.3","6.1","6.2","5.6","5.7","5.2","6.9","6.6","6.3","6.8","7.2","5.9"
"Chatham","wind",2015,"6.1","5.6","5.8","6.3","7.2","7.4","6.3","5.7","7.0","7.5","6.5","7.1"
"Chatham","wind",2016,"7.1","5.3","5.6","6.3","5.5","6.3","6.8","5.6","6.0","6.1","6.9","6.9"
"Chatham","wind",2017,"7.1","5.9","5.7","5.8","6.0","5.7","5.1","5.3","6.1","5.7","5.4","6.4"
"Chatham","wind",2018,"6.1","6.5","5.7","6.5","5.9","4.9","6.1","5.8","7.7","6.7","7.0","6.2"
"Chatham","wind",2019,"6.3","6.2","5.8","6.4","6.3","5.7","5.9","6.5","6.7","6.1","6.4","7.1"
"Chatham","wind",2020,"6.6","6.6","5.9","5.7","4.8","5.1","5.8","6.0","7.0","6.6","6.8","6.7"
"Gisborne","rain",2010,"226.1","35.7","41.3","63.8","165.7","162.2","178.35","171.1",NA,"196.45","25.5","67.5"
"Gisborne","rain",2011,"119.7","55.4","191.05","160.7","183.5","153.5","157.5","67.3","27.7","68.1","47.2","69.3"
"Gisborne","rain",2012,"82.4",NA,"204.85",NA,NA,"75.5","187","127.6","59.3","35.4","92.65","52.75"
"Gisborne","rain",2013,"15.75","22.1","25.7","82.65","103.35",NA,"154.9",NA,"149.1","19.7","83.2","73.4"
"Gisborne","rain",2014,"77.6","33","37","147.2","41.3",NA,NA,NA,NA,NA,"40.7","167.4"
"Gisborne","rain",2015,"51.8","17.2",NA,NA,NA,NA,"87","97.2","130.1","64.6",NA,"12.4"
"Gisborne","rain",2016,"92.8","56.1","56.6","80.8","73.6",NA,"107",NA,"100.4","91.7",NA,NA
"Gisborne","rain",2017,"10.4",NA,NA,NA,NA,NA,"176","74.2","152.6","63","49.7","45.6"
"Gisborne","rain",2018,"98.5","92.7",NA,NA,NA,"188.2","66.6","221.6","119.4",NA,"102","175.6"
"Gisborne","rain",2019,"49.9","83.3","58.1","117.9",NA,NA,NA,"83.8","92.6","90.8","51.3","65.4"
"Gisborne","rain",2020,"24.6",NA,"74.4","45","80.4",NA,NA,"118","35.2","40.2",NA,"15.9"
"Gisborne","soil_moisture",2010,"27.6","31.9","24.3","31.7","39.8","45.7","47.8","46","42.3","36.4","31.5","24.4"
"Gisborne","soil_moisture",2011,"27.1","30.6","40.2","42.9","46.6","45.7","47","45.9","39.6","29.1","28.2","24.2"
"Gisborne","soil_moisture",2012,"26","29","34.4","46.6","42.3","42.7","47.3","49","39","28.4","31.6","24.7"
"Gisborne","soil_moisture",2013,"22.2","20.4","20.1","25.2","30.1","38.1","39.8","44.7","44.3","31.1","28.7","27.7"
"Gisborne","soil_moisture",2014,"23.4","23.3","24","35.6","33.3","42.1","40","43.9","48.3","38.2","30.1","30.1"
"Gisborne","soil_moisture",2015,"26.8","26.8","28.3","29.5","33","39.5","42.6","45.6","45.7","37.1","43","31.6"
"Gisborne","soil_moisture",2016,"29.8","30.4","32.6","41.1","36.3","39","45.3","46","46.4","46.3","37.1","28.1"
"Gisborne","soil_moisture",2017,"24.3","30.5","36.6","44","45","45.5","48.8","46.3","44.7","38.9","31.1","26.9"
"Gisborne","soil_moisture",2018,"27.5","28.5","28","30.3","36.9","43.8","42.6","44.2","46.7","36.3","35.3","43.1"
"Gisborne","soil_moisture",2019,"35.1",NA,"31.8","41.4","38.4","40.5","44.3","43.8","43.2","37.3","33.9","30"
"Gisborne","soil_moisture",2020,"26.6","23.8","24.3","27.1","28.2","40.4","43.2",NA,"41.1","32.7","37.7","32.2"
"Gisborne","temperature",2010,"18.4","19.8","18.1","16.1","14.5","12.1","11","12.6","13.3","13.1","15.1","18"
"Gisborne","temperature",2011,"19.1","20.6","18.6","16.4","15.6","13.3","11.7","11","11.9","14.5","15.8","17"
"Gisborne","temperature",2012,"18.5","18.5","17.2","16.4","13.2","11.6","11.9","12.4","12.5","13.8","14.8","18.3"
"Gisborne","temperature",2013,NA,"19.9","19.4","17.9","14.35","12","10.75","12.35","13.55","15.1","16.85","18.7"
"Gisborne","temperature",2014,"19.05","19.65","18.05","17.3","13.9","12.85","10.75","10.95","12.9","14.2","15.55","17.7"
"Gisborne","temperature",2015,"20","19.35","18.9","16.35","13.2","11.8","10.2","11.05","12","15.05","15.8","17.45"
"Gisborne","temperature",2016,"20.2","21.2","19.15","16.55","16.1","12.55","11.25","11.25","13.35","15.1","16.75",NA
"Gisborne","temperature",2017,"19.5","20.4","19.3","16.95","13.15","11.6","10.45","12.2","13.1","14.45","15.7","18.65"
"Gisborne","temperature",2018,"21.5","21.15","19.3","16.2","14.05","11.5","10.95","11.7","12.55","14.3","16","18.5"
"Gisborne","temperature",2019,"21.05","19.95","19.35","15.85","14.4","11.15","12.05","11.4","12.6","14.3","17.5","18.55"
"Gisborne","temperature",2020,"19.85","21.3","17.8","16.2","13.7","12.9",NA,"12.05","13.4","15.5","17.1","18.35"
"Gisborne","wind",2010,"5.8","5.5","6.6","6.2","6.5","6.6","6.1","6.8","8.8","7.2","6.2","6.8"
"Gisborne","wind",2011,"7.2","6","6.8","6.6","7.1","6.4","8","5.6","6.3","6.3","7.1","6.4"
"Gisborne","wind",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.6"
"Gisborne","wind",2013,"4.85","4.1","4.4","4.3","4.3","4.3","3.8","4.7","5.55","5.4","4","4.1"
"Gisborne","wind",2014,"5.05","4.1","3.85","4.15","4.75","4.85","4.7","4.95","5.05","5.5","5.25","4.1"
"Gisborne","wind",2015,"3.6","4.05","3.45","4.2","4.5","5.45","4.25","4.55","4.4","5.2","4.8","3.8"
"Gisborne","wind",2016,"4.35","4","3.85","3.8","5.1","4.55","5.55","4.2","4.95","4.45","5.2","3.8"
"Gisborne","wind",2017,"4.85","4.1","4.15","3.9","4.05","3.7","3.95","4.5","4.9","4.1","4","3.7"
"Gisborne","wind",2018,"3.7","4.45","3.95","4.5","4.55","4.45","4.55","4.4","4.15","4.35","3.95","3.55"
"Gisborne","wind",2019,"3.8","4.4","3.7","4.1","4.3","3.65","4.2","5.05","4.95","4.8","4.45","5.15"
"Gisborne","wind",2020,"4.25","3.95","4.4","4.1","4.65","4.7","4.35","4.65","6.2","4.75","4.1","4.55"
"Hawkes_Bay","rain",2010,NA,"19.3","16.8","30.25","127.9","112.85","103.8","90.9","33.3","92.5","24.75","23.85"
"Hawkes_Bay","rain",2011,"149.3","33.95","104.3",NA,"44.35","78.35","147.8","72.45","27.4","63.2","35.4",NA
"Hawkes_Bay","rain",2012,NA,NA,NA,"77.95","100.6","53.1","179.4","76.6","22.9","24.2","97.8","30.8"
"Hawkes_Bay","rain",2013,"34.65","24.3","20.3","75.45","68.85",NA,"115.5",NA,NA,"21.2",NA,NA
"Hawkes_Bay","rain",2014,"57.3","42","57.9",NA,NA,NA,"102.3","109.3","107.6",NA,"18.2","72.1"
"Hawkes_Bay","rain",2015,"29.6","27.7","100.4","63.8","31.4","41.5",NA,"48.9","124.4",NA,"97.5","31.8"
"Hawkes_Bay","rain",2016,NA,"12","62.8","42","12.3",NA,"31.7",NA,"94.2","66.4",NA,"27.1"
"Hawkes_Bay","rain",2017,"9.4",NA,NA,NA,"104.2","100","171.7","72.3","103",NA,"26.9","94.4"
"Hawkes_Bay","rain",2018,"41.1",NA,"145.3",NA,NA,NA,NA,"75.4",NA,"28.1","87.7",NA
"Hawkes_Bay","rain",2019,NA,"41.7",NA,NA,"23.5",NA,NA,"53.6","74.9",NA,"24.3","95.55"
"Hawkes_Bay","rain",2020,"40.3","10.4","54.1","17.5",NA,NA,NA,NA,"54.4","46.7",NA,NA
"Hawkes_Bay","temperature",2010,"18.55","18.95","17.65","15.15",NA,"10.4","9.3","11.05","12.95","12.5","14.65","18.2"
"Hawkes_Bay","temperature",2011,"18.85","19.95","17.1","14","14.15","11.3","9.7","9.35","10.9","13.55","15.2","15.9"
"Hawkes_Bay","temperature",2012,NA,"17.3","16.2","14.85","11.55","10.05","9.85","10.8","11.7","13.75","13.9","18.65"
"Hawkes_Bay","temperature",2013,"18.8","17.75","17.45","16.35","12.75","10.8","10.25","11.55","13.05","14.9","16.1","18.1"
"Hawkes_Bay","temperature",2014,"18.55","18.45","16.75","16.35","13.05","11.95","9.85","10","11.9","13.45","15.4","17.05"
"Hawkes_Bay","temperature",2015,"18.85","18.1","18","15.35","12.45","10.9","9.05","10.15","10.65","14.05","14.75","16.6"
"Hawkes_Bay","temperature",2016,"19.15","20.4","17.95","15.35","15.15","11.55","10.5","10.1","12.1","14.3","16.55","17.3"
"Hawkes_Bay","temperature",2017,"19.65","19.4","17.9","15.85","12.3","10.7","9.55","11.25","12.7","13.85","15.25","18.05"
"Hawkes_Bay","temperature",2018,"20.85","20.4","18.1","15.35","13.45","10.4","10.3","10.7","11.9","13.55","15.65","17.95"
"Hawkes_Bay","temperature",2019,"20.85","19.2","18.5","14.7","13.7","10.45","10.8","10.6","11.9","13.4","16.9","18.25"
"Hawkes_Bay","temperature",2020,"18.75","20.5","16.9","15.3","12.75","11.9","9.85","10.75","12.55","14.35","16.05","17.55"
"Hawkes_Bay","wind",2010,"4.4","3.65","4.25","3.5","3.7","4.3","3.95","3.95","5.2","4.5","3.75","4.4"
"Hawkes_Bay","wind",2011,"4.35","3.55","3.85","4","4","3.95","5","3.85","3.95","4.25","4.85","4.5"
"Hawkes_Bay","wind",2012,"4.4","3.6","4.45","3.7","4.35","4.7","4.05","3.6","5","5.05","4.25","4.4"
"Hawkes_Bay","wind",2013,"4.2","3.8","3.45","3.9","3.4","4","3.6","3.95","4.8","4.7","4.15","4.1"
"Hawkes_Bay","wind",2014,"4.9","4.3","3.95","4","3.8","3.7","5.3","5","4.5","4.75","5.15","4.45"
"Hawkes_Bay","wind",2015,"3.6","4","4","4.2","4.25","5.25","4.95","4.3","4.65","4.4","4.55","4.25"
"Hawkes_Bay","wind",2016,"4.5","4.1","4.2","3.4","4.15","3.9","5.2","4","4.55","4.6","5.05","4.45"
