"","species","decimalLatitude","decimalLongitude","eventDate","year"
"9495","Asellus aquaticus",51.761295,5.827113,2004-09-07,2004
"9496","Asellus aquaticus",51.307345,3.424254,2008-06-23,2008
"9497","Asellus aquaticus",52.276385,5.977263,2006-04-24,2006
"9498","Asellus aquaticus",52.341881,5.92604,2005-04-07,2005
"9499","Asellus aquaticus",52.372829,6.011293,2004-03-23,2004
"9500","Asellus aquaticus",52.382753,6.004236,2009-09-16,2009
"9501","Asellus aquaticus",51.445859,3.867476,2004-05-06,2004
"9502","Asellus aquaticus",51.504297,3.781051,2009-04-14,2009
"9503","Asellus aquaticus",51.409106,3.879842,2003-04-07,2003
"9504","Asellus aquaticus",51.650749,3.92532,2004-07-28,2004
