"common_name","count"
"Black-fronted Tern",856
"Caspian Tern",1079
"Great Crested Grebe",193
"Hutton's Shearwater",119
"Malherbe's Parakeet",142
"New Zealand Falcon",450
"New Zealand Grebe",219
"New Zealand King Shag",699
"Royal Albatross",115
"Salvin's Albatross",111
"Spotted Shag",1358
"Tomtit",601
"Wrybill",65
