"common_name","count"
"Black-fronted Tern",168
"Brown Teal",12
"Caspian Tern",962
"Great Spotted Kiwi",410
"Kea",355
"Long-tailed Koel",227
"New Zealand Falcon",543
"Pacific Black Duck",150
"South Island Takahe",38
"Spotted Shag",365
"Tomtit",1666
"Wrybill",47
