"common_name","count"
"Australasian Bittern",72
"Black-fronted Tern",35
"Blue Duck",33
"Caspian Tern",547
"Long-tailed Koel",133
"New Zealand Grebe",307
"North Island Kokako",35
"Pacific Black Duck",69
"Parkinson's Petrel",9
"Red-breasted Dotterel",318
"Salvin's Albatross",17
"Shore Plover",21
"Tomtit",513
"Wrybill",70
