procedure_reference,number_of_meetings
2023/0095(COD),5
2023/0113(COD),5
2023/2061(INI),5
2023/2077(INI),5
2023/2114(INI),5
2023/2125(INI),5
2023/2500(RSP),5
2024/0006(COD),5
2024/0021(COD),5
2012/0299(COD),4
2016/0132(COD),4
2018/0218(COD),4
2019/2186(INI),4
2020/0259(COD),4
2020/2266(INI),4
2021/0427(COD),4
2021/2005(INI),4
2021/2189(INI),4
2021/2209(INI),4
2021/2246(INI),4
2022/0074(COD),4
2022/0100(COD),4
2022/0288(COD),4
2022/0398(COD),4
2022/0424(COD),4
2022/2004(INI),4
2022/2059(INI),4
2022/2079(INI),4
2022/2147(INI),4
2022/2204(INI),4
2023/0171(COD),4
2023/0201R(APP),4
2023/0272(COD),4
2023/0371(COD),4
2023/0418(COD),4
2023/2073(INI),4
2023/2082(INI),4
2023/2087(INI),4
2023/2112(INI),4
2023/2220(BUI),4
2023/2501(RSP),4
2023/2729(RSP),4
2023/2932(DEA),4
2016/0062R(NLE),3
2016/0139(COD),3
2018/0216(COD),3
2019/2167(INI),3
2019/2194(INI),3
2020/0262(COD),3
2020/2026(INL),3
2020/2038(INI),3
2020/2091(INI),3
2020/2202(INI),3
2020/2215(INI),3
2021/0380(COD),3
2021/0394(COD),3
2021/0430(CNS),3
2021/2006(INI),3
2021/2018(INI),3
2021/2208(INI),3
2021/2252(INI),3
2021/2254(INI),3
2022/0071(NLE),3
2022/0105(COD),3
2022/0326(COD),3
2022/0417(COD),3
2022/2037(INI),3
2022/2080(INI),3
2022/2140(INI),3
2022/2201(INI),3
2023/0038M(NLE),3
2023/0055(COD),3
2023/0077A(COD),3
2023/0117(NLE),3
2023/0172(COD),3
2023/0321(CNS),3
2023/0435(COD),3
2023/0436(COD),3
2023/0463(COD),3
2023/2018(INI),3
2023/2066(INI),3
2023/2068(INI),3
2023/2095(REG),3
2023/2182(DEC),3
2023/2536(RSP),3
2023/2672(DEA),3
2023/2940(RSP),3
2023/3040(DEA),3
2013/0072(COD),2
2015/0270(COD),2
2018/0107(COD),2
2018/0329(COD),2
2018/0331(COD),2
2019/2160(INI),2
2019/2755(RSP),2
2020/2010(INI),2
2020/2129(INL),2
2020/2267(INI),2
2021/0115(BUD),2
2021/0291(COD),2
2021/0411(COD),2
2021/2003(INI),2
2021/2011(INI),2
2021/2012(INI),2
2021/2013(INI),2
2021/2014(INI),2
2021/2079(INI),2
2021/2146(DEC),2
2021/2168(INI),2
2021/2230(INI),2
2021/2243(INI),2
2022/0009(COD),2
2022/0084(COD),2
2022/0132(COD),2
2022/0214(COD),2
2022/0249(NLE),2
2022/2015(INI),2
2022/2061(INI),2
2022/2062(INI),2
2022/2063(INI),2
2022/2075(INI),2
2022/2082(DEC),2
2022/2151(INI),2
2022/2170(INI),2
2022/2183(INI),2
2022/2194(INL),2
2022/2195(INI),2
2022/2197(INI),2
2022/2641(RSP),2
2022/2669(DEA),2
2022/2673(RSP),2
2022/2737(DEA),2
2022/2840(RSP),2
2023/0008(COD),2
2023/0049(COD),2
2023/0077B(COD),2
2023/0137(CNS),2
2023/0163(COD),2
2023/0187(CNS),2
2023/0206(COD),2
2023/0228(COD),2
2023/0260(NLE),2
2023/0315(COD),2
2023/0322(CNS),2
2023/0396(COD),2
2023/0437(COD),2
2023/0453(COD),2
2023/2002(INI),2
2023/2003(INI),2
2023/2017(INI),2
2023/2028(INI),2
2023/2029(INI),2
2023/2043(INI),2
2023/2052(INI),2
2023/2081(INI),2
2023/2121(INI),2
2023/2122(INI),2
2023/2127(INI),2
2023/2164(DEC),2
2023/2569(DEA),2
2023/2675(DEA),2
2023/2771(DEA),2
2023/2998(RPS),2
2024/0049(BUD),2
2024/0059(COD),2
2024/0068(COD),2
2024/0073(COD),2
2024/2564(DEA),2
2024/2665(RSP),2
2008/0090(COD),1
2008/0140(APP),1
2016/0038(NLE),1
2016/0062(NLE),1
2016/0152(COD),1
2016/0222(COD),1
2017/0114(COD),1
2017/0122(COD),1
2017/0360(NLE),1
2018/0114(COD),1
2018/0196(COD),1
2018/0230(COD),1
2018/0236(COD),1
2019/2077(DEC),1
2019/2081(DEC),1
2019/2083(DEC),1
2019/2088(DEC),1
2019/2181(INL),1
2020/0011(NLE),1
2020/0036(COD),1
2020/0350(COD),1
2020/0365(COD),1
2020/2016(INI),1
2020/2021(INI),1
2020/2073(INL),1
2020/2130(INL),1
2020/2134(INI),1
2020/2217(INI),1
2020/2222(INI),1
2020/2243(INI),1
2020/2260(INI),1
2020/2263(INI),1
2020/2273(INI),1
2020/2531(RSP),1
2020/2541(RSP),1
2020/2719(RSP),1
2021/0020(COD),1
